"No.","Scan List Name","Scan Channel Member","Scan Channel Member RX Frequency","Scan Channel Member TX Frequency","Scan Mode","Priority Channel Select","Priority Channel 1","Priority Channel 1 RX Frequency","Priority Channel 1 TX Frequency","Priority Channel 2","Priority Channel 2 RX Frequency","Priority Channel 2 TX Frequency","Revert Channel","Look Back Time A[s]","Look Back Time B[s]","Dropout Delay Time[s]","Dwell Time[s]"
"1","AlAnaScan","AL-Acqui|AL-Belforte|AL-Casale|AL-Coniolo|AL-Fracconalto|AL-IR1UIY-Giarol|AL-IR1ZWB-M.Giar|AL-IR1ZWG-Giarol|AL-IR1ZWG-M|AL-IR1ZXO-Novi|AL-IR1ZZZ-Bric|AL-IZ1MLJ-Lussit","430.22500|430.36250|145.68750|431.46250|145.76250|430.76250|431.31250|430.23750|431.47500|145.77500|145.75000|431.56250","431.82500|431.96250|145.08750|433.06250|145.16250|435.76250|432.91250|431.83750|433.07500|145.17500|145.15000|433.16250","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"2","AlDigiScan","IR1UGF-Worldw|IR1UGF-Europe|IR1UGF-Italia|IR1UGF-Discon|IR1UGF-Loca1|IR1UGF-Cluste|IR1UGF-Loca2|IK1HJT-Worldw|IK1HJT-Europe|IK1HJT-Italia|IK1HJT-Discon|IK1HJT-Loca1|IK1HJT-Cluste|IK1HJT-Loca2|IR1ZVJ-Worldw|IR1ZVJ-Europe|IR1ZVJ-Italia|IR1ZVJ-Discon|IR1ZVJ-Loca1|IR1ZVJ-Cluste|IR1ZVJ-Loca2|IR1UIW-Worldw|IR1UIW-Europe|IR1UIW-Italia|IR1UIW-Discon|IR1UIW-Loca1|IR1UIW-Cluste|IR1UIW-Loca2|IR1UIV-Worldw|IR1UIV-Europe|IR1UIV-Italia|IR1UIV-Discon|IR1UIV-Loca1|IR1UIV-Cluste|IR1UIV-Loca2|IR1ZZX-Worldw|IR1ZZX-Europe|IR1ZZX-Italia|IR1ZZX-Discon|IR1ZZX-Loca1|IR1ZZX-Cluste|IR1ZZX-Loca2","431.22500|431.22500|431.22500|431.22500|431.22500|431.22500|431.22500|430.30000|430.30000|430.30000|430.30000|430.30000|430.30000|430.30000|430.28750|430.28750|430.28750|430.28750|430.28750|430.28750|430.28750|431.28750|431.28750|431.28750|431.28750|431.28750|431.28750|431.28750|431.50000|431.50000|431.50000|431.50000|431.50000|431.50000|431.50000|431.52500|431.52500|431.52500|431.52500|431.52500|431.52500|431.52500","432.82500|432.82500|432.82500|432.82500|432.82500|432.82500|432.82500|437.90000|437.90000|437.90000|437.90000|437.90000|437.90000|437.90000|431.88750|431.88750|431.88750|431.88750|431.88750|431.88750|431.88750|432.88750|432.88750|432.88750|432.88750|432.88750|432.88750|432.88750|433.10000|433.10000|433.10000|433.10000|433.10000|433.10000|433.10000|433.12500|433.12500|433.12500|433.12500|433.12500|433.12500|433.12500","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"3","DigiService","IR1UGF Parrot|IR1UGF APRS|IK1HJT Parrot|IK1HJT APRS|IR1ZVJ Parrot|IR1ZVJ APRS|IR1UIW Parrot|IR1UIW APRS|IR1UIV Parrot|IR1UIV APRS|IR1ZZX Parrot|IR1ZZX APRS","431.22500|431.22500|430.30000|430.30000|430.28750|430.28750|431.28750|431.28750|431.50000|431.50000|431.52500|431.52500","432.82500|432.82500|437.90000|437.90000|431.88750|431.88750|432.88750|432.88750|433.10000|433.10000|433.12500|433.12500","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"4","AIB","PC Ponte|PC Diretta|AIB Diretta 1|AIB Diretta 2|AIB Diretta 3|AIB Rpt Ana A|AIB Rpt Ana B|AIB Rpt Ana C|AIB Rpt Ana D|AIB Rpt Ana E|AIB Rpt Ana F|AIB Rpt Ana G|RIP A DMR 1|RIP A DMR 2|RIP B DMR 1|RIP B DMR 2|RIP C DMR 1|RIP C DMR 2|RIP D DMR 1|RIP D DMR 2|RIP E DMR 1|RIP E DMR 2|RIP F DMR 1|RIP F DMR 2|RIP G DMR 1|RIP G DMR 2|DIR DMR 1|DIR DMR 2","173.71250|173.71250|160.53750|169.96250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250","169.11250|173.71250|160.53750|169.96250|162.46250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|162.46250|162.46250","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"5","LPD","LPD 1|LPD 2|LPD 3|LPD 4|LPD 5|LPD 6|LPD 7|LPD 8|LPD 9|LPD 10|LPD 11|LPD 12|LPD 13|LPD 14|LPD 15|LPD 16|LPD 17|LPD 18|LPD 19|LPD 20|LPD 21|LPD 22|LPD 23|LPD 24|LPD 25|LPD 26|LPD 27|LPD 28|LPD 29|LPD 30|LPD 31|LPD 32|LPD 33|LPD 34|LPD 35|LPD 36|LPD 37|LPD 38|LPD 39|LPD 40|LPD 41|LPD 42|LPD 43|LPD 44|LPD 45|LPD 46|LPD 47|LPD 48|LPD 49|LPD 50","433.07500|433.10000|433.12500|433.15000|433.17500|433.20000|433.22500|433.25000|433.27500|433.30000|433.32500|433.35000|433.37500|433.40000|433.42500|433.45000|433.47500|433.50000|433.52500|433.55000|433.57500|433.60000|433.62500|433.65000|433.67500|433.70000|433.72500|433.75000|433.77500|433.80000|433.82500|433.85000|433.87500|433.90000|433.92500|433.95000|433.97500|434.00000|434.02500|434.05000|434.07500|434.10000|434.12500|434.15000|434.17500|434.20000|434.22500|434.25000|434.27500|434.30000","433.07500|433.10000|433.12500|433.15000|433.17500|433.20000|433.22500|433.25000|433.27500|433.30000|433.32500|433.35000|433.37500|433.40000|433.42500|433.45000|433.47500|433.50000|433.52500|433.55000|433.57500|433.60000|433.62500|433.65000|433.67500|433.70000|433.72500|433.75000|433.77500|433.80000|433.82500|433.85000|433.87500|433.90000|433.92500|433.95000|433.97500|434.00000|434.02500|434.05000|434.07500|434.10000|434.12500|434.15000|434.17500|434.20000|434.22500|434.25000|434.27500|434.30000","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"6","PMR","PMR 1 (Monitor)|PMR 2|PMR 3|PMR 4 (Droni)|PMR 5 (Scout)|PMR 6|PMR 7|PMR 8 (Chiam)|PMR 9|PMR 10|PMR 11|PMR 12|PMR 13|PMR 14|PMR 15|PMR 16","446.00625|446.01875|446.03125|446.04375|446.05625|446.06875|446.08125|446.09375|446.10625|446.11875|446.13125|446.14375|446.15625|446.16875|446.18125|446.19375","446.00625|446.01875|446.03125|446.04375|446.05625|446.06875|446.08125|446.09375|446.10625|446.11875|446.13125|446.14375|446.15625|446.16875|446.18125|446.19375","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"7","Emergenza","VVFF|AeroAl-1|AeroAl-2|118 AL|Elisoccorso|118 SV|115 AL 1|115 AL 2|115 AL 3|115 SV 1|115 SV 2","440.00000|172.95000|173.05000|460.05000|460.30000|460.07500|422.73125|444.65000|434.71250|434.80000|444.46250","440.00000|172.95000|173.05000|460.05000|460.30000|460.07500|422.73125|444.65000|434.71250|434.80000|444.46250","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"8","CRI","CRI 01|CRI 02|CRI 03|CRI 04|CRI 05|CRI 06|CRI 07|CRI 08|CRI 09|CRI 10|CRI 11|CRI 12|CRI 13|CRI 14|CRI 15|CRI 16|CRI 17|CRI 18|CRI 19|CRI 20|CRI 21|CRI 22|CRI 23|CRI 24","171.97500|172.00000|173.25000|173.27500|173.30000|173.32500|171.97500|172.00000|172.25000|172.27500|172.30000|172.32500|171.98750|172.01250|173.26250|173.28750|173.31250|173.33750|171.98750|172.01250|173.26250|173.28750|173.31250|173.33750","157.32500|167.40000|168.65000|168.67500|168.70000|168.72500|171.97500|172.00000|172.25000|172.27500|172.30000|172.32500|167.38750|167.41250|168.66250|168.68750|168.71250|168.73750|171.98750|172.01250|173.26250|173.28750|173.31250|173.33750","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
