"No.","Group Name","Contact","Contact TG/DMR ID"
"1","ALL TG SL1 & 2","ABRUZZO|AGRO NOC SARNESE|APP.LIG.PIEMONT.|BASILICATA|BRESCIA NETWORK|CALABRIA|CAMPANIA|CLUSTER AGRIGENT|CLUSTER CISAR|CLUSTER PALERMO|Cluster REZIA SV|CLUSTER TRAPANI|D_STAR - C4FM|DIGITAL MULTIPR|DISCONNECT|EMILIA ROMAGNA|EURAO|EUROPEAN Wide|FRIULI V.G.|GR GUARDIE GIUR.|IT A.R.I.|IT EMERGENZA 112|ITALIA|LAZIO|LIGURIA|LOMBARDIA|MARCHE|MOLISE|NORD EST TG88|ONDA TELEMATICA|PIEMONTE|PIRS SICILIA|PUGLIA|REFLECTOR VB|ROOM ITALY|ROOM PUGLIA|SARDEGNA|SICILIA|TG 7878|TG MALTA|TG MARMOLADA|TG VARESE|TG-22244|TG-222444|TG-22249|TG-22275|TG-22496|TG-43039|TG-524|TG7771|TG9 LOCAL|TOSCANA|TRENTINO|UMBRIA|VAL D'AOSTA|VENETO|VILLA SAN GIOVAN|WORLD WIde","22261|222073|222055|22281|22222|22282|22283|222056|22287|222061|22877|222076|22292|22480|4000|22241|9201|92|22231|22486|22288|222112|222|22201|22211|22221|22262|22284|222383|22206|22212|22498|22271|4441|22299|2227|22202|22291|7878|2780|222345|222775|22244|222444|22249|22275|22496|43039|524|7771|9|22251|22232|22203|22213|22233|222071|91"
"2","RX TG IR4UAV","IT EMERGENZA 112|TG-22244|TG-222444|TG-22249|TG-43039|TG-524","222112|22244|222444|22249|43039|524"
